,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.975,1.006,0.939,0.992,0.98,0.973,1.0,0.998,0.945,1.007,1.007,0.967,0.975,0.961,0.942,0.899,1.004,0.968
1,0.975,0.978,0.971,0.977,1.0,0.956,0.964,0.984,0.985,1.026,0.992,0.976,1.004,0.953,1.004,0.985,0.941,0.983
2,0.97,0.995,0.954,1.03,0.985,1.02,0.982,0.977,0.969,1.0,1.025,0.979,0.991,0.979,0.943,0.985,0.993,0.975
3,0.488,0.483,0.504,0.988,0.96,1.015,0.97,1.008,1.038,0.972,0.974,0.952,0.994,0.911,0.993,0.998,0.949,0.978
4,0.472,0.466,0.49,0.484,0.949,0.986,1.001,0.989,0.947,0.976,0.94,0.984,0.976,0.992,1.007,0.988,0.969,0.966
5,0.489,0.504,0.489,0.49,0.496,0.972,0.97,0.972,0.959,1.04,0.941,0.983,0.955,0.951,0.986,0.977,0.917,0.973
6,0.499,0.493,0.491,0.497,0.501,0.48,0.939,0.98,0.965,0.959,0.982,0.967,0.964,0.91,0.96,0.98,0.981,1.009
7,0.479,0.484,0.506,0.487,0.501,0.499,0.5,0.992,0.92,0.961,0.951,0.998,0.997,0.985,0.908,0.94,0.978,0.961
8,0.491,0.495,0.473,0.474,0.488,0.505,0.511,0.477,0.953,0.975,0.944,0.959,1.016,0.967,0.958,0.939,0.986,0.971
9,0.491,0.503,0.474,0.511,0.481,0.483,0.495,0.488,0.487,0.972,0.998,0.97,0.978,0.954,0.947,0.965,1.019,0.991
10,0.456,0.481,0.483,0.486,0.477,0.489,0.47,0.494,0.482,0.494,0.956,0.979,0.952,0.99,0.977,0.878,0.955,0.977
11,0.495,0.485,0.465,0.505,0.499,0.477,0.486,0.49,0.471,0.494,0.49,0.914,0.986,0.941,0.986,0.947,0.953,0.961
12,0.475,0.455,0.495,0.513,0.473,0.497,0.513,0.473,0.489,0.51,0.489,0.498,0.966,0.952,0.967,0.979,0.964,0.963
13,0.493,0.466,0.49,0.473,0.476,0.481,0.502,0.506,0.489,0.505,0.476,0.474,0.497,0.978,0.981,0.984,0.958,0.923
14,0.503,0.494,0.488,0.462,0.473,0.493,0.498,0.479,0.478,0.447,0.484,0.49,0.506,0.472,0.972,0.99,0.968,0.974
15,0.482,0.496,0.473,0.492,0.482,0.488,0.493,0.488,0.476,0.473,0.486,0.479,0.477,0.486,0.499,0.976,0.976,0.932
16,0.504,0.484,0.513,0.488,0.512,0.482,0.503,0.47,0.493,0.493,0.51,0.508,0.482,0.467,0.473,0.489,0.972,0.971
17,0.485,0.509,0.507,0.477,0.5,0.484,0.491,0.486,0.48,0.496,0.513,0.501,0.483,0.457,0.5,0.488,0.47,0.999
18,0.487,0.513,0.51,0.474,0.467,0.518,0.505,0.486,0.49,0.487,0.493,0.473,0.495,0.487,0.491,0.49,0.486,0.498
19,0.475,0.476,0.495,0.496,0.499,0.492,0.479,0.507,0.497,0.463,0.498,0.488,0.483,0.478,0.467,0.504,0.51,0.48
20,0.514,0.494,0.488,0.501,0.492,0.493,0.499,0.485,0.493,0.483,0.489,0.502,0.471,0.491,0.481,0.476,0.48,0.497
