,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.51
2,0.493
3,0.486
4,0.504
5,0.474
6,0.49
7,0.499
8,0.461
9,0.488
10,0.477
11,0.48
12,0.491
13,0.484
14,0.487
15,0.488
16,0.501
17,0.505
18,0.491
19,0.48
20,0.489
21,0.494
22,0.49
23,0.488
24,0.484
25,0.504
26,0.473
27,0.465
28,0.478
29,0.474
30,0.503
31,0.484
32,0.49
33,0.462
34,0.488
35,0.492
36,0.496
37,0.473
38,0.481
39,0.483
40,0.488
41,0.476
42,0.474
43,0.483
44,0.487
45,0.49
46,0.495
47,0.473
48,0.502
49,0.511
50,0.483
51,0.481
52,0.472
53,0.483
54,0.493
55,0.487
56,0.5
57,0.5
58,0.49
59,0.513
60,0.494
61,0.494
62,0.52
63,0.489
64,0.514
65,0.488
66,0.496
67,0.502
68,0.484
69,0.491
70,0.485
71,0.519
72,0.479
73,0.48
74,0.496
75,0.498
76,0.489
77,0.496
78,0.479
79,0.495
80,0.488
81,0.508
82,0.506
83,0.995
84,0.942
85,0.985
86,0.959
87,0.989
88,0.923
89,0.998
90,0.96
91,0.977
92,0.969
93,0.979
94,0.936
95,0.98
96,0.994
97,0.98
98,0.972
99,1.005
