,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.942,1.005,0.988,0.963,0.993,0.947,0.903,0.953,0.996,0.974,0.984,1.002,1.052,0.975,0.972,0.989,1.003,0.968
1,0.964,0.982,0.974,0.982,1.012,0.986,0.964,0.968,0.966,0.984,0.998,0.968,0.998,0.998,0.96,0.934,1.058,0.949
2,0.979,0.981,1.008,0.963,0.947,1.008,0.975,0.957,0.981,0.985,0.97,0.98,1.003,0.977,0.963,0.965,0.955,0.961
3,0.502,0.477,0.488,1.004,0.948,0.993,0.958,0.946,0.981,0.992,1.016,0.997,0.986,1.013,0.935,1.077,0.949,0.994
4,0.51,0.48,0.484,0.489,1.013,0.964,0.953,0.967,0.993,1.004,0.955,0.981,0.949,1.063,0.99,0.944,0.991,0.987
5,0.49,0.488,0.471,0.516,0.503,0.926,0.991,1.012,0.992,0.992,0.977,0.976,0.969,0.983,1.022,0.979,0.971,0.992
6,0.487,0.475,0.49,0.489,0.476,0.497,1.037,0.975,0.977,0.946,0.97,1.018,0.983,0.937,0.981,0.91,1.004,0.993
7,0.494,0.498,0.51,0.489,0.482,0.476,0.505,0.946,0.991,0.994,0.932,1.024,0.939,1.005,0.991,0.963,1.008,0.977
8,0.492,0.497,0.498,0.493,0.491,0.507,0.51,0.522,0.966,0.974,0.967,0.935,1.023,0.948,0.994,0.949,0.965,0.95
9,0.504,0.495,0.503,0.523,0.476,0.477,0.494,0.474,0.507,0.967,0.99,1.106,0.982,1.024,0.953,0.973,0.956,0.956
10,0.505,0.482,0.507,0.495,0.491,0.5,0.518,0.508,0.503,0.496,0.943,0.996,0.952,0.986,0.963,0.962,0.96,0.981
11,0.493,0.497,0.48,0.494,0.488,0.485,0.499,0.498,0.485,0.501,0.505,0.95,0.98,1.002,1.012,0.931,1.014,0.973
12,0.507,0.494,0.514,0.5,0.475,0.499,0.481,0.472,0.497,0.503,0.52,0.483,0.954,0.98,0.989,0.985,0.927,0.998
13,0.511,0.509,0.506,0.504,0.492,0.51,0.464,0.504,0.478,0.515,0.502,0.483,0.5,0.997,1.01,0.966,0.944,0.949
14,0.475,0.484,0.505,0.497,0.504,0.504,0.511,0.485,0.491,0.486,0.503,0.491,0.507,0.513,0.984,0.93,0.997,0.968
15,0.484,0.517,0.504,0.492,0.49,0.494,0.491,0.497,0.503,0.492,0.477,0.479,0.497,0.5,0.512,0.973,0.962,1.003
16,0.487,0.494,0.491,0.498,0.496,0.491,0.511,0.498,0.519,0.476,0.48,0.513,0.477,0.492,0.488,0.497,0.98,0.981
17,0.491,0.499,0.504,0.501,0.497,0.506,0.498,0.481,0.474,0.478,0.503,0.498,0.506,0.507,0.483,0.498,0.491,0.946
18,0.496,0.498,0.499,0.504,0.498,0.498,0.488,0.498,0.503,0.518,0.497,0.484,0.492,0.476,0.491,0.498,0.494,0.506
19,0.509,0.5,0.505,0.505,0.495,0.483,0.51,0.493,0.492,0.506,0.481,0.528,0.489,0.489,0.492,0.495,0.465,0.486
20,0.51,0.509,0.497,0.502,0.493,0.49,0.494,0.477,0.51,0.473,0.49,0.495,0.469,0.482,0.476,0.477,0.495,0.495
