,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.948,0.963,0.958,0.984,0.913,0.971,0.949,0.903,0.956,0.973,0.947,0.969,0.94,0.923,0.98,0.967,0.968,0.94
1,0.966,0.948,0.972,0.932,0.988,0.956,0.983,0.985,0.953,0.974,0.905,0.936,0.953,0.93,0.974,0.93,0.969,0.92
2,0.974,0.957,0.929,0.958,0.956,0.941,0.984,0.971,0.933,0.965,0.941,0.948,0.938,0.978,0.937,0.954,0.973,0.935
3,0.536,0.506,0.524,0.962,0.959,0.977,0.949,0.96,0.96,0.931,0.926,0.951,0.968,0.968,0.959,0.935,0.943,0.94
4,0.534,0.527,0.523,0.514,0.949,0.947,0.975,0.994,0.962,0.966,0.974,0.946,0.976,0.947,0.984,0.927,0.988,0.967
5,0.524,0.493,0.519,0.528,0.525,0.981,0.952,0.94,0.955,0.929,0.972,0.969,0.937,0.935,0.971,0.982,0.92,0.963
6,0.521,0.523,0.526,0.525,0.518,0.528,0.965,0.929,0.963,0.954,0.963,0.939,0.967,0.942,0.984,0.956,0.976,0.956
7,0.523,0.53,0.526,0.52,0.522,0.53,0.518,0.947,0.957,0.997,0.957,0.957,0.98,0.941,0.954,0.945,0.984,0.963
8,0.505,0.488,0.514,0.528,0.499,0.516,0.51,0.522,0.932,0.976,0.982,0.973,0.975,0.948,0.967,0.917,0.901,0.943
9,0.518,0.528,0.511,0.524,0.543,0.524,0.502,0.517,0.521,0.973,0.947,0.948,0.961,0.934,0.935,0.961,0.989,0.919
10,0.494,0.512,0.523,0.524,0.527,0.526,0.518,0.514,0.511,0.517,0.949,0.934,0.951,0.971,0.929,0.953,0.952,0.948
11,0.523,0.519,0.527,0.518,0.516,0.496,0.531,0.513,0.5,0.522,0.497,0.967,0.973,0.968,0.974,0.973,0.944,0.931
12,0.525,0.959,0.522,0.522,0.534,0.51,0.514,0.543,0.504,0.532,0.519,0.522,0.962,0.945,0.945,0.96,0.982,0.949
13,0.519,0.523,0.526,0.528,0.522,0.496,0.5,0.511,0.526,0.519,0.495,0.514,0.515,0.993,0.963,0.991,0.977,0.938
14,0.481,0.505,0.523,0.513,0.524,0.532,0.512,0.499,0.522,0.522,0.493,0.527,0.515,0.521,0.924,0.957,0.947,0.966
15,0.526,0.525,0.52,0.518,0.511,0.508,0.535,0.505,0.492,0.532,0.537,0.527,0.518,0.515,0.517,0.979,0.936,0.957
16,0.511,0.522,0.528,0.531,0.539,0.529,0.514,0.518,0.514,0.529,0.506,0.528,0.526,0.522,0.521,0.51,0.962,0.969
17,0.518,0.515,0.541,0.528,0.518,0.523,0.513,0.521,0.518,0.51,0.508,0.525,0.526,0.523,0.511,0.519,0.512,0.933
18,0.515,0.493,0.525,0.514,0.525,0.52,0.53,0.525,0.52,0.526,0.523,0.517,0.519,0.52,0.53,0.534,0.528,0.498
19,0.528,0.5,0.52,0.515,0.526,0.528,0.52,0.535,0.518,0.529,0.505,0.528,0.51,0.528,0.524,0.511,0.51,0.536
20,0.495,0.529,0.512,0.525,0.523,0.538,0.542,0.537,0.529,0.511,0.524,0.523,0.536,0.521,0.513,0.503,0.513,0.52
